shoe_id,brand,model,version,full_name,alias_code,is_daily_trainer,is_recovery_shoe,is_workout_shoe,is_race_shoe,is_trail_shoe,is_walking_shoe,cushion_softness_1to5,bounce_1to5,stability_1to5,rocker_1to5,ground_feel_1to5,weight_feel_1to5,weight_g,heel_drop_mm,has_plate,plate_tech_name,plate_material,fit_volume,toe_box,width_options,support_type,heel_geometry,surface,wet_grip,release_status,release_year,release_quarter,retail_price_category,why_it_feels_this_way,avoid_if,similar_to,notable_detail
shoe_0001,HOKA,Bondi,9,HOKA Bondi 9,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,4,2,1,4,297,5,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q1,Premium,"The extremely thick EVA midsole heavily softens impact and isolates you from the ground, prioritising comfort and protection over agility. A mild rocker helps smooth transitions, but the focus is on stable, cushioned cruising rather than quick or nimble movement.","Avoid if you prefer a lighter, more agile max-cushion shoe, as the Bondi 9 still feels bulky despite refinements.","Nike Vomero Plus, New Balance Fresh Foam X More v6, Brooks Glycerin Max",Uses a high-stack supercritical EVA midsole that feels smoother and more controlled than earlier Bondis rather than overly soft.
shoe_0002,HOKA,Clifton,10,HOKA Clifton 10,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4,2,3,2,1,4,275,8,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q2,Core,"Its tall EVA midsole and mild rocker smooth landings and transitions, creating a protective ride that feels comfortable and cruisy rather than springy","Avoid if you loved the Clifton’s historically lightweight, nimble feel, as this version is heavier and more cushioned.","ASICS Gel Nimbus 27, Brooks Glycerin Max, New Balance Fresh Foam X 1080 v14",The Clifton 10 pushes further into max-cushion territory with increased stack height and a more relaxed fit.
shoe_0003,Nike,Vomero Plus,,Nike Vomero Plus,Vomero +,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,4,4,2,1,4,289,10,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q3,Core,"A full-length ZoomX midsole compresses deeply and rebounds quickly for soft cushioning with noticeable bounce, while the broad base keeps it more controlled than wobbly.","Avoid if you want something you can pick up the pace in, as the max stack and heavy feel make it better for easy cruising than faster work.","HOKA Bondi 9, Saucony Triumph 23, PUMA MagMax NITRO","Known for its ZoomX midsole that delivers a very soft, bouncy ride reminiscent of the original Invincible Run."
shoe_0004,Nike,Vomero Premium,,Nike Vomero Premium,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,4,2,4,1,5,326,10,FALSE,,,standard,narrow,standard only,neutral,standard,road,average,available,2025,Q4,Super-premium,"The very high ZoomX stack plus Air units creates deep, springy cushioning and a pronounced rocker-driven roll, but the tall build can feel bulky and less stable.","Avoid if you dislike extremely tall, heavy shoes or need stability, as the massive stack can feel unwieldy.","Saucony Triumph 23, Mizuno Neo Zen, New Balance Fresh Foam X More v6",Features an extreme midsole height with layered ZoomX and Air units for an unusually trampoline-like feel.
shoe_0005,New Balance,Fresh Foam X More,v6,New Balance Fresh Foam X More v6,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,3,4,2,1,5,302,4,FALSE,,,standard,narrow,standard and wide,stable_neutral,standard,road,average,available,2025,Q3,Core,"An oversized Fresh Foam X midsole on a broad platform spreads impact widely for ultra-soft cushioning with built-in stability, but the huge stack feels more cruiser than nimble.","Avoid if you want ground feel or a natural ride, as the towering, soft platform isolates you from the road.","HOKA Bondi 9, Brooks Glycerin Max, Nike Vomero 18","New Balance’s most cushioned trainer, built around an ultra-thick Fresh Foam X midsole tuned for comfort."
shoe_0006,ASICS,Novablast,5,ASICS Novablast 5,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,4,3,3,2,2,254,5,FALSE,,,high,standard,standard only,stable_neutral,standard,road,good,available,2024,Q4,Core,"The high-stack FF Blast MAX foam stores and releases energy effectively, creating a lively feel while maintaining a reasonably stable platform.","Avoid if you want a very planted, guidance-heavy ride, as the lively foam and higher stack can feel a bit free-moving, especially on corners or camber.","Salomon Aero Glide 3, New Balance FuelCell Rebel v5, Adidas Adizero EVO SL","Uses FF Blast Max foam for a softer, bouncier ride while maintaining the Novablast’s playful geometry."
shoe_0007,Brooks,Glycerin Max,,Brooks Glycerin Max,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,2,4,2,1,5,305,8,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,average,available,2024,Q4,Premium,"A tall DNA Tuned midsole absorbs impact generously and uses a mild rocker plus wide base to guide a steady, controlled stride, feeling more damped than springy.","Avoid if you want a responsive or fast-feeling shoe, as the ride prioritises plushness over energy return.","HOKA Bondi 9, New Balance Fresh Foam X More v6, Nike Vomero 18","Brooks’ tallest shoe ever, designed as a pure comfort cruiser with a very soft, protective midsole."
shoe_0008,New Balance,Fresh Foam X 1080,v14,New Balance Fresh Foam X 1080 v14,1080,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,3,2,2,4,285,6,FALSE,,,standard,narrow,standard and wide,stable_neutral,standard,road,good,available,2024,Q4,Premium,"Its high Fresh Foam X stack and refined rocker dampen impact smoothly, leading to a cushioned ride that feels slightly muted rather than energetic.","Avoid if you dislike very soft, muted cushioning or prefer a roomy toe box.","Nike Vomero Plus, ASICS Gel Nimbus 27, Saucony Triumph 23","Updates the 1080 with more stack and softness, shifting it closer to a true max-cushion daily trainer."
shoe_0009,Nike,Pegasus,41,Nike Pegasus 41,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,3,3,4,4,281,6,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,poor,available,2024,Q2,Core,"ReactX with Zoom Air gives a firmer, more connected ride with modest pop and a smooth transition, making it a steady all-rounder rather than a plush cruiser.","Avoid if you run frequently on wet surfaces, as outsole grip is limited.","ASICS Gel Cumulus 27, Brooks Ghost 17, New Balance Fresh Foam 680 v8","Introduces ReactX foam, making the Pegasus softer and more forgiving than previous versions."
shoe_0010,Nike,Vomero,18,Nike Vomero 18,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,3,2,3,4,298,10,FALSE,,,standard,narrow,standard and wide,stable_neutral,standard,road,poor,available,2025,Q1,Core,"The layered ZoomX-over-ReactX setup softens landings and adds stability, with a modest amount of rebound rather than strong pop.","Avoid if you want a lightweight daily trainer, as this version is noticeably heavier.","Brooks Glycerin Max, Saucony Triumph 23, New Balance Fresh Foam X 1080 v14","Combines ZoomX over ReactX for a soft-yet-durable ride aimed at long, steady mileage."
shoe_0011,Nike,Pegasus Premium,,Nike Pegasus Premium,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,4,2,2,1,5,308,10,FALSE,,,low,narrow,standard only,neutral,standard,road,average,available,2025,Q1,Super-premium,"Multiple soft midsole layers create a springy, highly cushioned ride, but the stacked build and narrower structure can feel less controlled, and the construction carries a noticeable weight penalty.","Avoid if you are sensitive to weight or need a wide fit, as it feels bulky and narrow.","HOKA Bondi 9, Mizuno Neo Zen, New Balance Fresh Foam X 1080 v14",Stacks multiple Nike cushioning technologies together for a uniquely springy but heavy ride.
shoe_0012,Adidas,Adizero EVO SL,,Adidas Adizero EVO SL,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4,5,2,2,2,2,223,6.5,FALSE,,,high,standard,standard only,neutral,standard,road,average,available,2024,Q4,Core,"Lightstrike Pro gives a soft-but-lively, high-rebound ride, and the lighter, less structured build means it feels quick and free-moving rather than guided or inherently stable.","Avoid if you want plush cushioning, as the ride is firm and performance-oriented.","New Balance FuelCell Rebel v5, ASICS Superblast 2, PUMA Velocity NITRO 4","Uses full Lightstrike Pro foam, giving it race-shoe energy in a lightweight trainer format."
shoe_0013,ASICS,Gel Nimbus,27,ASICS Gel Nimbus 27,Nimbus 27,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4,2,4,2,1,4,299,8,FALSE,,,high,standard,standard and wide,stable_neutral,standard,road,excellent,available,2025,Q1,Premium,"A thick FF BLAST+ midsole plus GEL cushioning dulls impact effectively with a more damped rebound, and the broad base helps keep the high stack feeling stable rather than wobbly.","Avoid if you want a lively or lightweight feel, as the shoe is very soft and heavy.","Brooks Glycerin Max, HOKA Clifton 10, New Balance Fresh Foam X 1080 v14","Known for its ultra-plush, protective ride with one of the softest landings in ASICS’ lineup."
shoe_0014,ASICS,Superblast,2,ASICS Superblast 2,SB2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,4,2,2,252,8,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,excellent,available,2024,Q3,Super-premium,"The tall FF BLAST TURBO midsole compresses deeply and rebounds efficiently for high cushioning and energy return, and the pronounced rocker helps it roll fast and smoothly without relying on a plate.","Avoid if you need a wide or forgiving fit, as the platform remains snug and performance-focused.","Salomon Aero Glide 3, HOKA Mach X 3",A plateless super-trainer combining low weight with huge cushioning and versatility.
shoe_0015,Brooks,Ghost Max,3,Brooks Ghost Max 3,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,3,1,2,5,303,5,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q3,Core,"A broad, stable base and a mostly straight-ahead geometry create a steady, protective ride, with cushioning that feels more damped than bouncy and a weighty, cruisy overall feel.","Avoid if you want flexibility or pop, as the ride is stiff and heavily cushioned.","HOKA Bondi 9, New Balance Fresh Foam X More v6, Saucony Triumph 23",A max-stack take on the Ghost that emphasises stability and comfort over speed.
shoe_0016,Skechers,Aero Burst,,Skechers Aero Burst,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4,3,3,5,1,5,322,6,TRUE,,Carbon,standard,narrow,standard and wide,stable_neutral,standard,road,average,available,2025,Q2,Core,"Dual-density Hyper Burst cushions landings while a pronounced rocker and firmer forefoot structure encourage a quicker roll-through, though the high stack feels more protective than nimble.","Avoid if you want a nimble shoe, as the plated, high-stack design feels bulky at faster paces.","HOKA Mach X 3, Saucony Endorphin Speed 5, PUMA Fast-R NITRO Elite 2",Uses a carbon-infused plate inside Hyper Burst foam to add snap to a plush trainer.
shoe_0017,ASICS,Gel Kayano,32,ASICS Gel Kayano 32,Kayano 32,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4,2,5,1,1,4,295,6,FALSE,,,high,standard,standard and wide,stability,standard,road,excellent,available,2025,Q2,Premium,"A cushioned midsole paired with strong guidance elements (sidewalls/support features) and a wide platform keeps the ride highly controlled and stable, with a more damped, non-springy rebound.","Avoid if you want a soft, energetic ride, as the feel is firm and support-focused.","Saucony Guide 18, HOKA Arahi 8, Brooks Ghost Max 3",Refines ASICS’ flagship stability shoe with a lower drop and very controlled platform.
shoe_0018,On,Cloudmonster,2,On Cloudmonster 2,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,3,3,3,2,4,292,8,TRUE,Speedboard,Plastic,high,standard,standard only,neutral,standard,road,average,available,2024,Q1,Premium,"Taller, softer CloudTec elements make the ride smoother and more forgiving than the original, with a moderate rocker that keeps transitions rolling rather than snappy or ground-connected.","Avoid if you expect soft cushioning, as the ride remains firm and structured.","Mizuno Neo Vista 2, Brooks Ghost Max 3, Nike Pegasus Premium","Uses oversized CloudTec pods and a Speedboard for a rolling, rocker-driven feel."
shoe_0019,On,Cloudmonster,,On Cloudmonster,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,3,3,3,2,4,280,6,TRUE,Speedboard,Plastic,standard,standard,standard only,neutral,standard,road,average,available,2022,Q1,Premium,"Firmer CloudTec pods and a rocker-led shape create a rolling transition that feels cushioned but relatively stiff underfoot, with a more structured, less plush sensation than softer max trainers.","Avoid if you want a plush, sinking sensation underfoot.","Mizuno Neo Vista 2, Nike Pegasus Premium, Brooks Ghost Max 3","On’s first true max-cushion shoe, notable for its distinctive podded midsole feel."
shoe_0020,New Balance,FuelCell Rebel,v5,New Balance FuelCell Rebel v5,Rebel,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,3,2,3,2,220,6,FALSE,,,standard,roomy,standard and wide,stable_neutral,standard,road,average,available,2025,Q3,Core,"A very light FuelCell midsole compresses easily for a soft, fast-feeling ride with some rebound, and the lower guidance and slimmer build make it feel agile and more connected than max-cushion cruisers.","Avoid if you need structure or stability, as the soft foam and flexible build prioritise fun over control.","Adidas Adizero EVO SL, HOKA Mach 6, PUMA Velocity NITRO 4","Famed for its ultra-light, soft FuelCell foam that feels playful across a wide pace range."
shoe_0021,Nike,Invincible,3,Nike Invincible 3,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,4,3,2,3,5,310,9,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,rare to find,2023,Q1,Premium,"ZoomX gives a soft-leaning, bouncy landing with a lot of compression underfoot, but the tall stack and springy foam can feel a bit wobbly when you’re not running straight, so it’s more fun and cushioned than truly planted.","Avoid if you want a planted ride, as the springy foam and tall stack can feel a bit wobbly on corners and camber.","HOKA Clifton 10, New Balance Fresh Foam X 1080 v14, Saucony Triumph 23","A soft-leaning, bouncy daily trainer built around a full slab of ZoomX foam."
shoe_0022,Brooks,Glycerin,22,Brooks Glycerin 22,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,2,4,2,3,4,293,10,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2025,Q1,Premium,"Dual-density DNA Tuned foam blends plush cushioning with controlled rebound, smoothing impact without feeling unstable.","Avoid if you want a fast or lightweight trainer, as it feels relaxed and comfort-first.","ASICS Gel Nimbus 27, HOKA Clifton 10, Saucony Triumph 23","Introduces DNA Tuned foam for a smoother, more refined version of Brooks’ classic cruiser."
shoe_0023,Saucony,Ride,18,Saucony Ride 18,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4,3,4,2,3,2,255,8,FALSE,,,standard,standard,standard and wide,stable_neutral,standard,road,average,available,2024,Q4,Core,"Traditional geometry paired with PWRRUN foam yields a slightly firm, predictable ride that suits everyday training.","Avoid if you need stability or racing-level responsiveness, as it sits firmly in the neutral daily category.","ASICS Gel Cumulus 27, Nike Pegasus 41, Brooks Ghost 17","Revamped with PWRRUN+ foam, making it lighter and more energetic than previous Rides."
shoe_0024,PUMA,Velocity NITRO,4,PUMA Velocity NITRO 4,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,4,2,2,3,2,224,10,FALSE,,,standard,narrow,standard only,neutral,standard,road,good,available,2025,Q3,Core,"NITRO foam gives a lively toe-off in a light build, but the relatively neutral platform and limited guidance keep stability feeling only moderate.","Avoid if you want very soft cushioning, as the ride is balanced and slightly firm.","Adidas Adizero SL 2, New Balance FuelCell Rebel v5, HOKA Mach 6",Known for excellent grip and a well-rounded NITRO foam ride at a competitive weight.
shoe_0025,PUMA,MagMax NITRO,,PUMA MagMax NITRO,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5,3,4,4,1,4,291,8,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,good,available,2024,Q3,Premium,"A tall, high-stack NITRO setup prioritises protection with a more damped, steady feel rather than deep softness, while the broad base and rocker help smooth and stabilise the ride.","Avoid if you prefer low-stack shoes, as the midsole height is extreme.","Brooks Glycerin Max, Nike Vomero Plus, Saucony Triumph 23",A bold max-cushion design with a massive slab of NITRO foam that still feels lively.
shoe_0026,Adidas,Adizero SL,2,Adidas Adizero SL 2,SL2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,3,2,2,2,2,245,9,FALSE,,,high,standard,standard only,neutral,standard,road,good,available,2024,Q2,Core,"Lightstrike Pro foam offers a smooth, responsive underfoot feel while keeping overall bulk low.","Avoid if you want plush comfort, as the ride is firm and speed-oriented.","PUMA Velocity NITRO 4, HOKA Mach 6, New Balance FuelCell Rebel v5",A budget-friendly trainer that borrows performance geometry from Adidas’ Adizero racers.
shoe_0027,Mizuno,Neo Zen,,Mizuno Neo Zen,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,2,2,2,2,234,6,FALSE,,,standard,standard,standard only,neutral,standard,road,poor,available,2025,Q1,Core,"A big, highly compliant midsole gives a very soft, pillowy landing, but the foam rebounds with a clean pop rather than a dull sink. With a tall stack and less inherent guidance, it can feel a bit wobbly when you are not running straight, so the ride is plush and lively but not especially planted.","Avoid if you prefer firm, structured rides, as the foam is very soft and flexible.","Nike Pegasus Premium, New Balance Fresh Foam X 1080 v14, HOKA Bondi 9","Showcases Mizuno’s modern Enerzy foam in a highly cushioned, minimalist build."
shoe_0028,Mizuno,Neo Vista,2,Mizuno Neo Vista 2,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,3,2,3,1,3,264,8,TRUE,WAVE Plate,Plastic,standard,standard,standard only,neutral,standard,road,average,available,2025,Q2,Core,"The layered midsole is highly protective but not truly plush, so it compresses with a deeper, damped feel under load, with the wave structure adding some shape without making it feel rigid.","Avoid if you value cornering stability, as the tall stack and plate can feel awkward.","On Cloudmonster 2, PUMA MagMax NITRO, ASICS Superblast 2",A plated super-trainer blending Enerzy foam with a carbon-infused Wave plate.
shoe_0029,PUMA,Magnify NITRO,3,PUMA Magnify NITRO 3,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,4,2,2,3,3,261,10,FALSE,,,standard,standard,standard only,neutral,standard,road,good,available,2025,Q2,Core,"A thick NITRO midsole prioritises comfort and impact reduction, with moderate energy return.","Avoid if you want a nimble or fast-feeling shoe, as it is heavy and comfort-focused.","HOKA Mach 6, Adidas Adizero SL 2, New Balance Fresh Foam 680 v8",A durable max-cushion trainer built around a thick NITRO foam platform.
shoe_0030,Salomon,Aero Glide,2,Salomon Aero Glide 2,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,4,4,3,3,268,10,FALSE,,,standard,standard,standard only,stable_neutral,standard,road,average,available,2024,Q2,Premium,"The high-stack Energy Surge midsole cushions impact well and maintains a steady, neutral ride profile.","Avoid if you want ground feel, as the shoe prioritises cushioning and roll-through.","ASICS Superblast 2, Skechers Aero Burst, Nike Vomero Plus","Salomon’s most cushioned road shoe, using a high-stack Energy Foam midsole."
shoe_0031,Topo Athletic,Atmos,,Topo Athletic Atmos,Topo Atmos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,2,3,3,3,4,275,5,FALSE,,,high,roomy,standard only,stable_neutral,standard,road,average,available,2023,Q3,Core,"A rockered, high-stack midsole paired with a wide toe box encourages smooth transitions and stable, natural foot placement.","Avoid if you want ultra-soft cushioning, as the ride is tuned firmer for stability.","ASICS Gel Cumulus 27, Brooks Ghost 17, Nike Pegasus 41","Combines a wide, foot-shaped toe box with high-stack cushioning in a low-drop setup."
shoe_0032,Brooks,Ghost,17,Brooks Ghost 17,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,2,2,2,3,4,289,10,FALSE,,,standard,narrow,standard and wide,neutral,standard,road,good,available,2025,Q2,Core,"DNA Loft v3 foam and classic geometry create a consistent, neutral ride that feels smooth and familiar.","Avoid if you want speed or bounce, as the ride is steady and traditional.","ASICS Gel Cumulus 27, Nike Pegasus 41, New Balance Fresh Foam 680 v8",A refined take on Brooks’ most popular daily trainer with softer DNA Loft v3 foam.
shoe_0033,Altra,Experience Flow,2,Altra Experience Flow 2,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,3,2,1,5,2,235,4,FALSE,,,high,roomy,standard only,neutral,standard,road,good,available,2025,Q2,Core,"Low-drop geometry and a flexible, low-rocker setup keep the ride feeling natural and foot-led, with a lower-to-the-ground sensation that prioritises ground feedback over a rolling transition.","Avoid if you rely on heel drop or narrow fits, as the platform is low-drop and wide.","Nike Pegasus 41, ASICS Gel Contend 9, Adidas Adizero SL 2",Stays true to Altra’s natural-running ethos with a foot-shaped toe box and level platform.
shoe_0034,PUMA,Deviate NITRO Elite,3,PUMA Deviate NITRO Elite 3,DNE3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,5,2,4,2,2,204,10,TRUE,PWRPLATE,Carbon,standard,narrow,standard only,neutral,standard,road,good,available,2024,Q3,Super-premium,"A stiff carbon plate working with NITRO Elite foam channels force efficiently, producing an aggressive, race-ready ride.","Avoid if you want a forgiving daily shoe, as the carbon plate is tuned for racing.","Adidas Adizero Adios Pro 4, Nike Alphafly Next% 3, Saucony Endorphin Elite 2",PUMA’s flagship marathon racer with NITRO Elite foam and a powerful carbon plate.
shoe_0035,Adidas,Adizero Boston,13,Adidas Adizero Boston 13,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,4,2,3,2,3,254,6,TRUE,Energy Rods 2.0,Carbon,standard,standard,standard only,neutral,standard,road,average,available,2025,Q2,Premium,Energy Rods embedded in Lightstrike Pro foam create a firm platform that favours controlled propulsion at faster training paces.,"Avoid if you want a soft daily trainer, as the ride is firm and tempo-focused.","Saucony Endorphin Speed 5, Nike Zoom Fly 6, HOKA Mach X 3","A plated trainer using EnergyRods, blurring the line between trainer and racer."
shoe_0036,HOKA,Mach,6,HOKA Mach 6,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,4,3,3,3,2,232,5,FALSE,,,standard,narrow,standard and wide,neutral,standard,road,average,available,2024,Q1,Core,"A relatively light build with a mild rocker keeps turnover quick and smooth, while the midsole stays more lively than plush for faster daily running.","Avoid if you want maximal cushioning, as the ride is relatively firm and quick.","Adidas Adizero SL 2, New Balance FuelCell Rebel v5, PUMA Velocity NITRO 4",Uses a dual-density PROFLY midsole to balance speed and daily usability.
shoe_0037,Saucony,Endorphin Speed,5,Saucony Endorphin Speed 5,ES5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,4,3,3,3,2,241,8,TRUE,,Nylon,standard,standard,standard only,neutral,standard,road,average,available,2025,Q2,Premium,"PWRRUN PB foam paired with a flexible plate encourages a fast, rolling stride with noticeable energy return.","Avoid if you dislike plated guidance, as the nylon plate shapes the ride.","HOKA Mach X 3, Adidas Adizero Boston 13, Nike Zoom Fly 6",A cult favourite tempo shoe combining PWRRUN PB foam with a flexible plate.
